"biol.year","Elk_YNP_abund","Bison_YNP_abund","annual.pcr_Elk_Wolf.killed","annual.pcr_Bison_Wolf.killed","annual.pcr_Bison_Scavenged"
1997,14304.67,455,16.9930623493672,0.0410165725289351,0.0508606311952502
1998,13303.7962222222,489,16.8522292455379,0.306176109428909,0.0576955963808383
1999,12349.4426666667,540,18.4643029504887,0.0322328870753237,0.0644654030980063
2000,11513.6945555556,590,15.9095645214051,0.0304116369428335,0.0534469914928974
2001,10559.518,719,14.8932333973891,0.210245044036882,0.344816070588632
2002,8916.76,805,15.0583454490821,0.185539441765482,0.504408289472722
2003,7659.01111111111,888,13.9410540114822,0.390945291902197,0.447764221602231
2004,6623.716,876,12.2550363914463,0.289790690538622,0.832835257407483
2005,5789.65577777778,1484,15.7739728150336,1.00645317646811,0.846746468878007
2006,5428.13811111111,1377,13.4160669383012,0.27412730197112,0.602350272232475
2007,4870.22066666667,2070,14.3313955523386,0.331407618073849,0.813887590129787
2008,4638.16611111111,1500,16.9123087246449,0.370691278484711,1.05040812341315
2009,3754.11588888889,1837,15.8076492148131,0.437796091768186,0.344785692782906
2010,3349.27255555556,2246,17.315903451984,0.43616274234939,1.09191463912487
2011,2740.63255555556,2314,9.43511177855764,0.668877725722066,1.55443605284726
2012,2389.76133333333,2669,11.6838679159309,0.365313299517373,1.51846003529649
2013,2287.76055555556,3420,12.120814931774,0.811415647118854,2.61475942897619
2014,2179.61144444444,3424,10.7921519169058,0.530349433003572,3.76532092889011
2015,2119.728,3628,10.4992337092941,0.713968144424479,1.4928555754392
2016,1982.74733333333,4008,9.62430887458492,0.375293439063526,1.98436907945735
2017,2104.97166666667,3969,10.9548699006484,2.50995585311398,3.41524852878476
2018,1998.10266666667,3357,10.3663668259841,1.86637873559513,2.36120605867999
2019,1887.26566666667,3667,7.69221845033635,1.64006545350409,1.2971231464643
2020,1844.376,3437,6.64534702909394,2.35891160660833,1.47630052400536
2021,1787.997,3830,8.44716411757608,0.917973038180384,2.02837891236953
